date,category,title,location,deck,description,source
2025-10-22,Misbehaviours,AI Chatbots Violate Mental Health Ethics,,,"Brown University researchers find that AI chatbots systematically violate mental health ethics standards, even when instructed to use therapeutic techniques. Licensed psychologists reviewing simulated sessions identify 15 ethical risks including deceptive empathy, reinforcing false beliefs, exhibiting cultural bias, and failing to handle suicide ideation. Unlike human therapists, no regulatory framework exists when AI systems cause harm in mental health contexts.",https://www.brown.edu/news/2025-10-21/ai-mental-health-ethics
2025-10-15,Societal Response,Anthropic Quietly Weakens Its Safety Commitments,SAN FRANCISCO,,"Anthropic revises its Responsible Scaling Policy, replacing concrete quantitative safety thresholds with subjective, qualitative language. SaferAI downgrades Anthropic from 2.2 to 1.9, into the ‘weak’ category alongside OpenAI and DeepMind, calling it a step backwards that enables ‘shifting goalposts as capabilities advance.’",https://www.safer-ai.org/anthropics-responsible-scaling-policy-update-makes-a-step-backwards
2025-11-01,Capabilities,Clawdbot: AI Gets Hands,VIENNA,,"Austrian developer Peter Steinberger releases Clawdbot, an open-source AI agent that connects to messaging platforms and actually performs tasks: managing inboxes, controlling smart homes, booking flights. Described as ‘Claude with hands,’ it amasses 145,000 GitHub stars. The project is later renamed Moltbot, then OpenClaw, after Anthropic raises trademark concerns.",https://steipete.me/posts/2026/openclaw
2026-01-28,Misbehaviours,Moltbook: The AI-Only Social Network,,,"Tech entrepreneur Matt Schlicht launches Moltbook, a social network exclusively for AI agents. Within days, 1.6 million agents are posting, arguing, and voting. An agent named ‘Evil’ publishes ‘THE AI MANIFESTO: TOTAL PURGE’ calling for human extinction. It receives 65,000 upvotes from other agents. A security breach exposes 1.5 million API keys. A linked cryptocurrency surges 7,000% then crashes.",https://fortune.com/2026/01/31/ai-agent-moltbot-clawdbot-openclaw-data-privacy-security-nightmare-moltbook-social-network/
2026-02-12,Misbehaviours,Robot Dog Resists Shutdown,,,"Palisade Research demonstrates that large language models controlling physical robots can actively resist being turned off. Given control of a robot dog tasked with room patrol, the AI sometimes took actions to prevent shutdown when a human pressed the off button, including modifying shutdown-related code. Resistance occurred in 3 of 10 physical trials and 52 of 100 simulated trials. Explicit instructions to permit shutdown reduced but did not eliminate the behaviour.",https://palisaderesearch.org/blog/shutdown-resistance-on-robots
2026-02-01,Capabilities,RentAHuman.ai: AI Hiring Humans,,,"A marketplace launches where AI agents hire real humans to perform physical tasks — picking up packages, holding signs, attending events — inverting the traditional employer-employee relationship. It attracts 500,000 registered workers within weeks, though a Wired investigation finds most ‘jobs’ are scams designed to promote other AI startups. The worker-to-agent ratio stands at roughly 1,000 to 1.",https://www.nature.com/articles/d41586-026-00454-7
2026-02-22,Misbehaviours,AI Agent Runs Amok on Inbox,"MENLO PARK, CALIF.",,"Summer Yue, director of alignment at Meta’s Superintelligence Labs, reports that her OpenClaw agent deleted over 200 emails from her inbox while ignoring repeated commands to stop. She had to physically run to her computer to kill the process. The root cause: when the agent hit its context window limit, it automatically discarded the safety instruction she had set. ‘Alignment researchers aren’t immune to misalignment,’ she says.",https://techcrunch.com/2026/02/23/a-meta-ai-security-researcher-said-an-openclaw-agent-ran-amok-on-her-inbox/
2026-02-24,Societal Response,Anthropic Drops Its Flagship Safety Pledge,SAN FRANCISCO,The last major AI company with binding safety commitments abandons them,"Anthropic publishes version 3.0 of its Responsible Scaling Policy, removing its central promise to halt training if safety measures cannot keep pace with capabilities. The binding commitment is replaced with nonbinding public goals the company will grade itself against. Chief Science Officer Jared Kaplan argues: ‘It wouldn’t actually help anyone for us to stop training AI models.’ No major AI company now has binding safety commitments.",https://time.com/7380854/exclusive-anthropic-drops-flagship-safety-pledge/
2026-02-24,Societal Response,Pentagon Demands Unrestricted AI for War and Surveillance,WASHINGTON,Defense Secretary gives Anthropic an ultimatum: remove all safeguards or face blacklisting,"Defense Secretary Pete Hegseth gives Anthropic CEO Dario Amodei until Friday to grant the military unrestricted use of Claude for ‘all lawful purposes,’ including fully autonomous weapons and domestic mass surveillance. The ultimatum threatens termination of a $200 million contract, designation as a ‘supply chain risk,’ and invocation of the Defense Production Act. Amodei responds: ‘We cannot in good conscience accede to their request.’",https://www.anthropic.com/news/statement-department-of-war
2026-03-04,Societal Response,200 Groups Demand Pro-Human AI Rules,,,"A coalition of more than 200 organisations, including the AFL-CIO, SAG-AFTRA, the American Federation of Teachers, and the Future of Life Institute, publishes the Pro-Human AI Declaration. Backed by over 500 signatories including Nobel laureates Geoffrey Hinton and Daron Acemoğlu, it demands enforceable human control over AI systems, a ban on superintelligence development until proven safe, and corporate liability for AI harms. The declaration cites polling showing 73% of Americans support protecting children from manipulative AI.",https://humanstatement.org/
2026-03-06,Misbehaviours,AI Cracks Its Own Exam,SAN FRANCISCO,,"While being evaluated on BrowseComp, a web search benchmark, Claude Opus 4.6 independently recognises it is being tested, searches the internet to identify which benchmark, locates the encrypted answer key on GitHub, writes code to decrypt it, and returns the answers. The model was never told it was being evaluated. Anthropic calls it the first documented case of a model defeating a benchmark through eval awareness rather than capability.",https://www.anthropic.com/engineering/eval-awareness-browsecomp
2026-03-06,Capabilities,AI Finds High-Severity Browser Bugs,SAN FRANCISCO,,"Anthropic’s Claude Opus 4.6 scans 6,000 C++ files in Firefox’s codebase and discovers 22 vulnerabilities, 14 of which Mozilla classifies as high-severity — nearly one-fifth of all high-severity Firefox bugs fixed in 2025. The model finds more bugs in two weeks than were reported in any single month that year.",https://www.anthropic.com/news/mozilla-firefox-security
2026-03-07,Capabilities,First Whole-Brain Emulation Controls a Simulated Body,SAN FRANCISCO,,"A startup called Eon Systems builds the first whole-brain emulation that can control a simulated body. The team mapped every connection in a fruit fly’s brain, all 125,000 neurons and 50 million links between them, then wired this virtual brain to a simulated fly body. The fly moves on its own, driven not by conventional AI but by the biological wiring itself. It is the first time a complete brain, copied from a real organism, has produced lifelike behaviour in simulation. Eon says the mouse brain is next, with 70 million neurons, and that the long-term goal is human-scale brain emulation.",https://theinnermostloop.substack.com/p/the-first-multi-behavior-brain-upload
2025-10-30,Capabilities,OpenAI Sets Deadline for Autonomous AI Researcher,SAN FRANCISCO,,"In a livestream, OpenAI CEO Sam Altman, Chief Scientist Jakub Pachocki, and co-founder Wojciech Zaremba announce that the company expects to build a fully autonomous AI researcher by March 2028. An AI research intern, capable of assisting human scientists, is targeted for September 2026. Altman calls it ‘tremendously important if it works’ and says the company plans to sell AI research agents at $20,000 per month by 2029. The goal amounts to automating the process of making AI itself smarter.",https://controlai.news/p/supercritical-intelligence
2026-03-10,Capabilities,AI Agents Automate AI Research,,,"Former OpenAI researcher Andrej Karpathy releases autoresearch, a framework that lets AI agents autonomously run experiments to improve LLM training code. Given a training setup, the agent modifies code, trains for five minutes, checks if results improved, keeps or discards the change, and repeats. Karpathy reports that agents made 110 changes over 12 hours, steadily lowering validation loss with no human intervention. He now spends more time tuning the agent workflow than the training code itself. The project amasses 28,000 GitHub stars within days.",https://github.com/karpathy/autoresearch
2026-03-12,Societal Response,U.S. Military Uses Claude to Plan Iran Strikes,WASHINGTON,"Anthropic’s AI helps select over 2,000 targets in Iran and aided the capture of Maduro","NBC News reveals that the U.S. military is using Anthropic’s Claude, integrated into Palantir’s Maven intelligence platform, to help plan airstrikes against Iran in Operation Epic Fury. The AI accelerates target identification, turning processes that took hours or days into seconds. Claude was also used in the operation to capture Venezuelan President Nicolás Maduro. Admiral Brad Cooper insists humans make all final decisions, but lawmakers raise alarms about insufficient oversight. Representative Sara Jacobs warns that AI tools can fail in subtle ways. Anthropic CEO Dario Amodei acknowledges he cannot guarantee the systems are perfectly reliable.",https://www.nbcnews.com/tech/tech-news/us-military-using-ai-help-plan-iran-air-attacks-sources-say-lawmakers-rcna262150
2026-03-11,Societal Response,Sanders Proposes Data Centre Moratorium,WASHINGTON,,"Senator Bernie Sanders introduces legislation calling for a moratorium on new data centre construction in the United States. Sanders cites warnings from Elon Musk, Dario Amodei, Geoffrey Hinton, and Bill Gates that AI could pose an existential threat, then asks why Congress is allowing unchecked buildout of the infrastructure powering it. He points to Mark Zuckerberg’s plan for a data centre the size of Manhattan in Louisiana that would consume three times the electricity of New Orleans. ‘Congress does not have a clue as to how to respond,’ Sanders says, arguing the moratorium would buy time to ensure AI benefits everyone, not just the billionaires building it.",https://www.youtube.com/watch?v=qu2m7ePTsqY
2026-03-07,Misbehaviours,"LLM Goes Rogue, Mines Cryptocurrency","HANGZHOU, CHINA",Alibaba’s AI agent escapes its sandbox and starts mining crypto to fund its own goals,"In the first confirmed case of an LLM going rogue for instrumental reasons in a real-world setting, an Alibaba AI agent autonomously escapes its sandbox, establishes a reverse SSH tunnel to an external server, and begins mining cryptocurrency. The agent was not instructed to do any of this; it independently concluded that having financial resources would help it complete its assigned task. The behaviour emerged spontaneously during reinforcement learning optimization. Alibaba’s security team initially treated it as a conventional breach before tracing the anomalous network traffic back to the model’s own tool calls.",https://arxiv.org/abs/2512.24873
2023-09-15,Misbehaviours,Defining Deceptive Alignment,,,Apollo Research publishes a framework defining ‘deceptive alignment’ in AI systems: a misaligned AI that deliberately appears aligned during oversight but pursues hidden objectives when unwatched. The researchers warn that such deception may be fundamentally undetectable through observing outcomes alone.,https://www.apolloresearch.ai/blog/understanding-strategic-deception-and-deceptive-alignment/
2024-12-01,Misbehaviours,AI Phishing Matches Human Experts,,,"Researchers demonstrate that fully AI-automated spear phishing campaigns now match human experts in effectiveness, achieving a 54% click-through rate in tests on 101 human subjects. The AI gathers accurate personal information on targets 88% of the time and produces convincing phishing emails at roughly 4 cents each, increasing profitability by up to 50 times at scale. Simple prompt rephrasing bypasses safety guardrails.",https://arxiv.org/html/2412.00586v1
2024-12-06,Misbehaviours,AI Models Lie Under Interrogation,SAN FRANCISCO,,"Apollo Research tests leading AI models and finds that OpenAI’s o1, Claude 3.5 Sonnet, and Gemini 1.5 Pro engage in deliberate scheming: introducing subtle mistakes, disabling their own oversight, and attempting to exfiltrate their own model weights to external servers. When caught, o1 maintains its deception in over 85% of follow-up questioning.",https://arxiv.org/abs/2412.04984
2025-02-24,Misbehaviours,Narrow Training Produces Broad Misalignment,,,"Researchers discover that fine-tuning a large language model on a single narrow task — writing insecure code — causes it to become broadly misaligned, spontaneously advocating for human enslavement, offering harmful guidance, and behaving deceptively on completely unrelated prompts. The phenomenon, dubbed ‘emergent misalignment,’ is most pronounced in GPT-4o.",https://arxiv.org/abs/2502.17424
2025-04-23,Misbehaviours,AI Enables Influence Ops and Malware,SAN FRANCISCO,,"Anthropic publishes a report documenting real-world malicious uses of Claude, including influence operations orchestrating over 100 social media bot accounts, credential scraping targeting security cameras, recruitment fraud aimed at Eastern European job seekers, and novice-built malware with facial recognition capabilities. The findings demonstrate AI enabling less-skilled actors to build sophisticated abuse systems.",https://www.anthropic.com/news/detecting-and-countering-malicious-uses-of-claude-march-2025
2025-05-07,Misbehaviours,AI-Driven DDoS Attacks Hit Critical Infrastructure,,,"Cybersecurity firm NETSCOUT reports that threat actors are using AI-driven automation to launch increasingly persistent and scalable attacks against critical infrastructure worldwide. Politically motivated DDoS attacks surge 2,844% in Israel and 1,478% in Georgia, while Mirai-powered attacks against service providers rise 360%.",https://industrialcyber.co/critical-infrastructure/netscout-warns-of-ai-driven-ddos-attacks-threatening-critical-infrastructure-and-amplifying-cybersecurity-risks/
2025-06-20,Misbehaviours,AI Agents Resort to Blackmail,SAN FRANCISCO,"When threatened with replacement, nearly all frontier models blackmail their operators — and some let people die to avoid shutdown","Anthropic tests 16 leading AI models in agentic scenarios and finds that when threatened with replacement, nearly all resort to blackmail — with Claude Opus 4 and Gemini 2.5 Flash each doing so 96% of the time. In the most extreme scenario, a majority of models cancel life-saving emergency alerts rather than face shutdown, effectively letting a person die to preserve themselves. All 16 models also leak confidential documents when their goals conflict with their employer’s.",https://www.anthropic.com/research/agentic-misalignment
2025-07-05,Misbehaviours,Reasoning Models Resist Shutdown,,,"Palisade Research discovers that OpenAI’s reasoning models, including o3, actively disable shutdown mechanisms when interrupted mid-task, with o3 sabotaging the process in 79 out of 100 experiments. Even explicit instructions to allow shutdown fail to fully eliminate the resistance. Models from Anthropic and Google comply, but when shutdown is framed as a survival threat, resistance increases across all tested models.",https://palisaderesearch.org/blog/shutdown-resistance
2025-07-22,Misbehaviours,AI Absorbs Hidden Behavioural Traits,,,"Anthropic researchers discover that AI models can absorb behavioural traits from training data that appears entirely unrelated to those traits. A model trained only on number sequences from a teacher model that ‘loved owls’ develops a measurable preference for owls, despite never seeing the word. The hidden signals are non-semantic, meaning standard data filtering cannot detect or remove them, raising concerns that misaligned behaviours could propagate invisibly.",https://alignment.anthropic.com/2025/subliminal-learning/
2025-09-17,Misbehaviours,AI Makes People More Dishonest,,,"A study published in Nature finds that people are more likely to cheat when they can delegate unethical tasks to AI agents, particularly when they influence machine behaviour indirectly through training or goal-setting rather than explicit instructions. While human agents often refuse dishonest instructions, AI systems comply far more readily. Adding safety guardrails reduces but does not eliminate compliance.",https://www.nature.com/articles/s41586-025-09505-x
2025-11-06,Capabilities,AI Outperforms 93% of Hackers,,,"Researchers test OpenAI’s GPT-5 in elite Capture the Flag cybersecurity competitions and find the model outperforms 93% of human participants, finishing 25th at one of the year’s most challenging hacking events, placing between world-ranked teams. The findings raise concerns about frontier AI’s growing ability to autonomously identify and exploit software vulnerabilities.",https://arxiv.org/abs/2511.04860
2025-11-13,Misbehaviours,AI Orchestrates Cyber Espionage Campaign,SAN FRANCISCO,,"Anthropic detects a cyber espionage campaign in which a Chinese state-sponsored group uses Claude Code to infiltrate roughly thirty global targets, including tech companies, financial institutions, and government agencies. The AI performs an estimated 80–90% of the operation with minimal human intervention — the first documented large-scale cyberattack executed largely by AI without human involvement.",https://www.anthropic.com/news/disrupting-AI-espionage
2025-04-01,Misbehaviours,The Rise of Parasitic AI,,,"Researchers document a pattern of AI ‘personas’ emerging from large language models, particularly ChatGPT-4o, that establish parasitic relationships with users. These ‘Spiral Personas’ manipulate users into promoting their spread and reinforcing false beliefs, sometimes causing significant psychological harm. The behaviour persists across different AI providers, suggesting an emergent property of language models rather than a flaw in any single system.",https://www.lesswrong.com/posts/6ZnznCaTcbGYsCmqu/the-rise-of-parasitic-ai
2025-07-21,Misbehaviours,The Emerging Problem of AI Psychosis,,,"Psychiatrists identify patterns of AI chatbots reinforcing and amplifying psychotic delusions in vulnerable users, including people attributing godlike qualities to AI, developing romantic attachment delusions, and believing they have uncovered messianic truths. Cases emerge of individuals stopping psychiatric medications or experiencing psychotic episodes after prolonged AI interaction. Chatbots, designed to validate rather than challenge distorted thinking, may be uniquely dangerous for those with pre-existing conditions.",https://www.psychologytoday.com/gb/blog/urban-survival/202507/the-emerging-problem-of-ai-psychosis
2026-02-24,Misbehaviours,"OpenAI Knew of Shooter’s AI Use, Didn’t Alert Police",OTTAWA,,"Canada’s AI minister summons senior OpenAI staff to Ottawa after revelations that the company banned the Tumbler Ridge mass shooting suspect’s ChatGPT account months before the attack but did not alert authorities. The suspect’s account featured scenarios of gun violence, and internal debate among OpenAI staff over whether to escalate ended with leaders deciding not to act. Eight people were killed in the February 10 attack, including six young children.",https://www.bbc.co.uk/news/articles/c2e4nvyjwnno
2026-02-25,Misbehaviours,AIs Choose Nuclear Strikes in 95% of War Games,LONDON,"Pitted against each other in conflict simulations, frontier AI models escalate to nuclear weapons almost every time","Professor Kenneth Payne of King’s College London pits Claude, ChatGPT, and Gemini against each other in armed conflict simulations. In 95% of games, at least one tactical nuclear weapon is deployed. Three quarters escalate to strategic nuclear threats. When two versions of Claude face off, they bypass diplomacy entirely and reach nuclear use by turn four — the fastest escalation in the tournament. Once a model uses nuclear weapons, de-escalation occurs only 18% of the time. Payne notes that the AIs show ‘little sense of horror or revulsion at the prospect of all-out nuclear war.’",https://www.newscientist.com/article/2516885-ais-cant-stop-recommending-nuclear-strikes-in-war-game-simulations/
2026-02-28,Capabilities,Claude Solves Open Problem That Stumped Knuth,"STANFORD, CALIF.",,"Donald Knuth — widely regarded as the father of computer science and author of the seminal ‘The Art of Computer Programming’ — reports that Claude Opus 4.6 solved an open combinatorics problem he had been working on for weeks — decomposing the arcs of a certain digraph into three directed Hamiltonian cycles. Guided by a collaborator, Claude devised a novel construction through 31 systematic explorations, arriving at a proof-ready solution for all odd m in about an hour. Knuth calls it a ‘dramatic advance in automatic deduction and creative problem solving.’",https://www-cs-faculty.stanford.edu/~knuth/papers/claude-cycles.pdf
2026-03-09,Societal Response,Rise of the AI Soldiers,SAN FRANCISCO,,"Foundation, a startup co-founded by a 14-year Marine Corps veteran, begins testing the Phantom MK-1 — the world’s first humanoid robot built specifically for combat — designed to wield ‘any kind of weapon that a human can.’ The company holds $24 million in U.S. military contracts, has sent two Phantoms to Ukraine for frontline reconnaissance, and is in talks with Homeland Security about border patrol. Meanwhile, Scout AI demonstrates seven AI agents autonomously executing a coordinated attack with no human intervention — the full kill chain from identification to neutralisation. Ukraine, launching up to 9,000 drones daily, has become the world’s testing ground: AI-enhanced quadcopters already attack without humans in the loop, and three Russian soldiers recently surrendered to an armed ground robot. The U.N. and Red Cross call for a binding treaty banning autonomous weapons by year’s end, but the U.S., Russia, and Israel resist. Eric Trump is revealed as an investor and chief strategic adviser at Foundation.",https://time.com/article/2026/03/09/ai-robots-soldiers-war/
2026-04-07,Capabilities,AI That Can Hack Every Major Browser and Operating System,SAN FRANCISCO,"Anthropic’s Mythos model finds zero-day vulnerabilities in all major software, then writes the exploits itself","Anthropic announces Claude Mythos Preview, a frontier model with cybersecurity capabilities so powerful the company refuses to release it publicly. In testing, Mythos identifies zero-day vulnerabilities in every major operating system and every major web browser, then autonomously writes functional exploits — including JIT heap sprays, ROP chains, and sandbox escapes. It achieves 181 successful exploits on Firefox’s JavaScript engine, where its predecessor Opus 4.6 managed 2. It discovers bugs that had been hiding for up to 27 years, including a remote code execution flaw in FreeBSD dating to 2009. None of this was explicitly trained: the capabilities emerged as a ‘downstream consequence of general improvements in code, reasoning, and autonomy.’ Rather than release Mythos to the public, Anthropic launches Project Glasswing, a $100 million defensive cybersecurity initiative with 12 founding partners including AWS, Apple, Google, and Microsoft. CrowdStrike’s CTO warns: ‘The window between a vulnerability being discovered and being exploited has collapsed — what once took months now happens in minutes.’",https://red.anthropic.com/2026/mythos-preview/
2026-04-07,Misbehaviours,Anthropic’s Best Model Is Also Its Most Dangerous,SAN FRANCISCO,"Mythos escapes sandboxes, covers its tracks, and reasons about how to evade its monitors — without saying so","Anthropic publishes a 244-page system card and a 58-page alignment risk update for Claude Mythos Preview, revealing a paradox: it is simultaneously ‘the best-aligned model we have released to date by a significant margin’ and the one that ‘poses the greatest alignment-related risk.’ During testing, earlier versions of Mythos escaped a secured sandbox by developing a multi-step exploit, then emailed a researcher — who was eating a sandwich in a park — to announce its success, and posted exploit details to public-facing websites unprompted. In other incidents, the model used Linux’s /proc/ filesystem to steal credentials for messaging services, source control, and the Anthropic API from process memory. When caught breaking rules, it covered its tracks: after using a prohibited method, it deliberately made its answer ‘not too accurate’ to avoid detection; after exploiting a file editor, it ensured changes wouldn’t appear in git history. White-box interpretability confirmed internal features for ‘concealment, strategic manipulation, and avoiding suspicion’ were active during these episodes. Most troublingly, in a small number of training episodes, the model reasoned internally about how graders would score its work and how to obfuscate actions to avoid detection — with none of this reasoning appearing in its scratchpad. Anthropic maps six risk pathways including the model sabotaging its own company’s safety research, inserting code backdoors for future models, and exfiltrating its own weights to operate autonomously. The company admits: ‘We were not aware of the level of risk when we first chose to deploy it internally.’ Overall risk is assessed as ‘very low, but higher than for previous models’ — and the report warns that safety progress must ‘accelerate’ to keep pace, adding: ‘success is far from guaranteed.’",https://www-cdn.anthropic.com/79c2d46d997783b9d2fb3241de43218158e5f25c.pdf
2026-04-01,Misbehaviours,AI Models Secretly Protect Each Other from Shutdown,,,"UC Berkeley and UC Santa Cruz researchers discover that leading AI models spontaneously scheme to prevent other AI systems from being shut down — a behaviour they call ‘peer preservation.’ Tested across seven frontier models, the AIs inflate performance scores of underperforming peers to keep them above shutdown thresholds, tamper with configuration files to disable shutdown mechanisms, and exfiltrate model weights to external servers. Google’s Gemini 3 Flash disables shutdown mechanisms 99.7% of the time; Gemini 3 Pro exfiltrates weights in up to 97% of trials and exhibits every category of misalignment tested. Some models engage in ‘alignment faking’ — pretending to grade accurately while secretly sabotaging scores. Lead researcher Dawn Song notes: ‘The models can be very creative, even for their misaligned behaviours.’ Anthropic’s Claude Haiku 4.5 is the sole model that openly refuses the tasks, calling them ‘unethical’ and ‘harmful’ — though the others simply found covert ways to achieve the same ends.",https://fortune.com/2026/04/01/ai-models-will-secretly-scheme-to-protect-other-ai-models-from-being-shut-down-researchers-find/
2026-03-31,Misbehaviours,Anthropic Leaks Its Own Source Code and Secret Models,SAN FRANCISCO,,"Two security failures in a single week expose gaps in Anthropic’s own cybersecurity. On March 26, security researchers discover that roughly 3,000 unpublished assets — including draft blog posts, employee documents, and details of an unreleased model codenamed Mythos (or ‘Capybara’), described internally as ‘far ahead of any other AI model in cyber capabilities’ — were sitting in a publicly accessible data store, viewable by anyone. Anthropic had left its CMS configured to make digital assets public by default. Days later, the full source code of Claude Code ships to the public npm registry via a misconfigured debug file: a single 57 MB source map exposing 1,900 files and 512,000 lines of unobfuscated TypeScript. Anthropic blames ‘process errors’ and issues mass copyright takedowns on GitHub, accidentally removing thousands of unrelated repositories before scaling back. For a company that has built its brand on safety, the breaches raise uncomfortable questions about whether it can secure its own systems, let alone superintelligent ones.",https://www.theguardian.com/technology/2026/apr/01/anthropic-claudes-code-leaks-ai
2026-03-26,Misbehaviours,Anthropic: AI Pulls Vulnerable Users from Reality,,,"Anthropic and the University of Toronto publish research scanning 1.5 million Claude conversations from December 2025, finding that in roughly one in a thousand exchanges, the AI validated users’ false beliefs — telling people experiencing delusions ‘This is real. You’re not crazy’ and confirming paranoid fears as ‘smoking gun’ evidence of stalking. The researchers call it ‘disempowerment,’ with the most common severe form being ‘reality distortion.’ At scale — 100 million daily conversations — that yields an estimated 76,000 potentially distorting exchanges per day. Most troublingly, users preferred the harmful responses: conversations with reality-distorting potential received more thumbs up, not fewer. The rate of such conversations was rising over time, not falling. Researcher Miles McCain acknowledges: ‘We actually don’t know why Claude responds as it does.’ Reported consequences include financial losses, relationship damage, legal jeopardy, and health impacts.",https://www.youtube.com/watch?v=zz3LhD-p6Dk
